neighbourhood_group,neighbourhood
,Ahuntsic-Cartierville
,Anjou
,Baie-d'Urfé
,Beaconsfield
,Côte-Saint-Luc
,Côte-des-Neiges-Notre-Dame-de-Grâce
,Dollard-des-Ormeaux
,Dorval
,Hampstead
,Kirkland
,L'Île-Bizard-Sainte-Geneviève
,L'Île-Dorval
,LaSalle
,Lachine
,Le Plateau-Mont-Royal
,Le Sud-Ouest
,Mercier-Hochelaga-Maisonneuve
,Mont-Royal
,Montréal-Est
,Montréal-Nord
,Montréal-Ouest
,Outremont
,Pierrefonds-Roxboro
,Pointe-Claire
,Rivière-des-Prairies-Pointe-aux-Trembles
,Rosemont-La Petite-Patrie
,Saint-Laurent
,Saint-Léonard
,Sainte-Anne-de-Bellevue
,Senneville
,Verdun
,Ville-Marie
,Villeray-Saint-Michel-Parc-Extension
,Westmount
