listing_id,date
2571657,2014-09-09
2571657,2015-03-11
2571657,2015-03-17
2571657,2015-04-05
2571657,2015-04-22
2571657,2015-06-09
2571657,2015-07-20
2571657,2015-08-14
2571657,2015-09-08
2571657,2015-09-24
2571657,2015-11-25
2571657,2015-12-20
1778493,2013-12-18
1778493,2014-01-28
1778493,2014-03-17
1778493,2014-03-25
1778493,2014-03-29
1778493,2014-03-31
1778493,2014-04-15
1778493,2014-04-19
1778493,2014-04-22
1778493,2014-06-01
1778493,2014-10-23
1778493,2014-11-10
1778493,2015-01-10
1778493,2015-02-21
1778493,2015-02-25
1778493,2015-06-26
1778493,2015-07-19
1778493,2015-08-16
1778493,2015-10-19
1778493,2015-10-25
1778493,2015-12-01
1778493,2015-12-08
4325105,2014-10-18
4325105,2014-11-02
4325105,2014-11-16
4325105,2014-12-22
4325105,2015-01-24
4325105,2015-01-28
4325105,2015-02-15
4325105,2015-02-24
4325105,2015-03-26
4325105,2015-03-30
4325105,2015-04-18
4325105,2015-07-24
4325105,2015-10-27
9489353,2015-11-28
9489353,2015-12-01
9489353,2015-12-03
9489353,2015-12-22
9489353,2015-12-28
9489353,2015-12-31
7734188,2015-10-13
7253120,2015-09-07
6768986,2015-07-04
6768986,2015-07-19
6768986,2015-07-25
6768986,2015-07-26
6768986,2015-09-17
6768986,2015-09-29
6768986,2015-10-03
6768986,2015-10-05
6768986,2015-11-28
4296097,2014-10-30
4296097,2014-10-31
4296097,2014-11-14
4296097,2014-11-26
4296097,2015-01-04
4296097,2015-02-12
4296097,2015-03-11
4296097,2015-03-12
4296097,2015-04-01
4296097,2015-06-03
4296097,2015-09-02
4296097,2015-09-29
4296097,2015-10-13
4296097,2015-10-28
4296097,2015-11-12
4617917,2014-12-24
4617917,2015-01-04
4812717,2015-02-08
4812717,2015-02-20
4812717,2015-02-25
4812717,2015-03-01
4812717,2015-03-07
4812717,2015-03-27
4812717,2015-05-04
4812717,2015-05-08
4812717,2015-05-25
4812717,2015-06-08
4812717,2015-06-12
4812717,2015-06-14
4812717,2015-06-26
4812717,2015-06-28
4812717,2015-07-05
4812717,2015-07-17
4812717,2015-07-30
4812717,2015-08-10
4812717,2015-08-31
4812717,2015-09-14
4812717,2015-09-22
4812717,2015-09-26
4812717,2015-10-05
4812717,2015-11-03
4812717,2015-11-11
4812717,2015-11-16
4812717,2015-11-27
4812717,2015-12-03
9633362,2015-12-01
9633362,2015-12-16
9633362,2015-12-21
4483725,2014-11-08
4483725,2014-11-16
4483725,2014-11-21
4483725,2014-11-23
4483725,2014-12-01
4483725,2014-12-20
4483725,2014-12-30
4483725,2015-01-07
4483725,2015-01-10
4483725,2015-01-12
4483725,2015-01-19
4483725,2015-01-22
4483725,2015-01-27
4483725,2015-02-01
4483725,2015-02-07
4483725,2015-02-12
4483725,2015-02-15
4483725,2015-02-21
4483725,2015-02-27
4483725,2015-03-13
4483725,2015-03-16
4483725,2015-03-21
4483725,2015-04-20
4483725,2015-05-01
4483725,2015-05-05
4483725,2015-05-15
4483725,2015-05-25
4483725,2015-06-01
