neighbourhood_group,neighbourhood
,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
,ΑΝΩ ΚΥΨΕΛΗ
,ΝΕΑ ΚΥΨΕΛΗ
,ΑΝΩ ΠΑΤΗΣΙΑ
,ΡΟΥΦ
,ΝΕΟΣ ΚΟΣΜΟΣ
,ΓΚΑΖΙ
,ΓΚΥΖΗ
,ΓΟΥΒΑ
,ΓΟΥΔΙ
,ΠΕΔΙΟ ΑΡΕΩΣ
,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ
,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
,ΘΗΣΕΙΟ
,ΙΛΙΣΙΑ
,ΚΥΨΕΛΗ
,ΣΤΑΔΙΟ
,ΖΑΠΠΕΙΟ
,ΚΟΛΩΝΟΣ
,ΝΙΡΒΑΝΑ
,ΠΑΤΗΣΙΑ
,ΣΕΠΟΛΙΑ
,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
,ΑΚΡΟΠΟΛΗ
,ΚΟΛΩΝΑΚΙ
,ΠΑΓΚΡΑΤΙ
,ΠΟΛΥΓΩΝΟ
,ΠΡΟΜΠΟΝΑ
,ΡΗΓΙΛΛΗΣ
,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
,ΒΟΤΑΝΙΚΟΣ
,ΠΕΝΤΑΓΩΝΟ
,ΠΕΤΡΑΛΩΝΑ
,ΡΙΖΟΥΠΟΛΗ
,ΚΕΡΑΜΕΙΚΟΣ
,ΚΟΛΟΚΥΝΘΟΥ
,ΛΥΚΑΒΗΤΤΟΣ
,ΑΜΠΕΛΟΚΗΠΟΙ
,ΕΛΛΗΝΟΡΩΣΩΝ
