name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Michael Strahan,DE,NYG,NYG,DE,16.0,1.1480265E7,2.059998E7,5000000.0,1.5598E7,1980.0
Peyton Manning,QB,IND,IND,QB,16.0,1.0334483E7,6301150.0,6298000.0,0.0,3150.0
Emmitt Smith,RB,DAL,DAL,RB,16.0,1.030984E7,6003240.0,6000000.0,0.0,3240.0
Aaron Glenn,CB,HOU,HOU,CB,16.0,9180203.0,1.134336E7,3150000.0,7000000.0,1193360.0
Jake Plummer,QB,ARI,ARI,QB,16.0,8679899.0,5737500.0,5700000.0,0.0,37500.0
Mark Brunell,QB,JAX,JAX,QB,15.0,8253690.0,6253690.0,6250000.0,0.0,3690.0
Curtis Martin,RB,NYJ,NYJ,RB,16.0,8022496.0,1.35036E7,3500000.0,1.0E7,3600.0
Kerry Collins,QB,NYG,NYG,QB,16.0,7383600.0,7503600.0,650000.0,5850000.0,1003600.0
Chad Bratzke,DE,IND,IND,DE,16.0,6985940.0,4501440.0,3500000.0,0.0,1001440.0
Warren Sapp,DT,TB,TB,DT,16.0,6981530.0,5251530.0,5250000.0,0.0,1530.0
Sean Gilbert,DT,CAR,CAR,DT,8.0,6952520.0,3002520.0,1500000.0,0.0,1502520.0
Kordell Stewart,QB,PIT,PIT,QB,8.0,6922880.0,5302880.0,5300000.0,0.0,2880.0
Brad Johnson,QB,TB,TB,QB,13.0,6803150.0,5503150.0,3500000.0,0.0,2003150.0
Willie McGinest,LB,NE,NE,LB,16.0,6287767.0,2505600.0,1400000.0,0.0,1105600.0
Junior Seau,LB,SD,SD,LB,13.0,6259683.0,3001350.0,3000000.0,0.0,1350.0
Zach Thomas,LB,MIA,MIA,LB,16.0,6164250.0,4250000.0,3950000.0,0.0,300000.0
Bryant Young,DE,SF,SF,DE,16.0,6151742.0,7500360.0,650000.0,6850000.0,360.0
Terrell Owens,WR,SF,SF,WR,14.0,6111955.0,4150720.0,3600000.0,0.0,550720.0
Tim Couch,QB,CLE,CLE,QB,14.0,6063800.0,4400000.0,4400000.0,0.0,0.0
Sam Madison,CB,MIA,MIA,CB,16.0,6037931.0,4357000.0,4300000.0,0.0,57000.0
Simeon Rice,DE,TB,TB,DE,16.0,6000000.0,6000000.0,2500000.0,0.0,3500000.0
Brett Favre,QB,GB,GB,QB,16.0,5957706.0,2150720.0,750000.0,1400000.0,720.0
Stephen Davis,RB,WAS,WAS,RB,12.0,5928571.0,5000000.0,1500000.0,1500000.0,2000000.0
Donovan McNabb,QB,PHI,PHI,QB,10.0,5754938.0,1.4736284E7,1500000.0,1.35E7,990.0
Ray Lewis,LB,BAL,BAL,LB,5.0,5670237.0,1.0525E7,525000.0,1.0E7,0.0
Marcus Coleman,S,HOU,HOU,S,16.0,5480750.0,4375000.0,3275000.0,1000000.0,100000.0
Muhsin Muhammad,WR,CAR,CAR,WR,14.0,5279197.0,3301080.0,3200000.0,0.0,101080.0
Gary Walker,DE,HOU,HOU,DE,16.0,5250720.0,3450720.0,3400000.0,0.0,50720.0
Chad Brown,LB,SEA,SEA,LB,8.0,5137859.0,7000360.0,1500000.0,5500000.0,360.0
Luther Elliss,DT,DET,DET,DT,14.0,5130891.0,3885234.0,1692158.0,2500000.0,2880.0
Phillip Daniels,DE,CHI,CHI,DE,13.0,5102880.0,3252880.0,2250000.0,0.0,1002880.0
Drew Bledsoe,QB,BUF,BUF,QB,16.0,5001530.0,9501530.0,2900000.0,6500000.0,101530.0
Vinny Testaverde,QB,NYJ,NYJ,QB,5.0,4922067.0,4003420.0,1400000.0,2600000.0,3420.0
Steve McNair,QB,TEN,TEN,QB,16.0,4868196.0,2001530.0,2000000.0,0.0,1530.0
Jimmy Smith,WR,JAX,JAX,WR,16.0,4853333.0,7500000.0,650000.0,6350000.0,500000.0
Corey Dillon,RB,CIN,CIN,RB,16.0,4850000.0,2750000.0,2650000.0,0.0,100000.0
Eddie George,RB,TEN,TEN,RB,16.0,4834684.0,2501350.0,2250000.0,0.0,251350.0
Ty Law,CB,NE,NE,CB,16.0,4815788.0,4370305.0,650000.0,2691176.0,1105600.0
Duane Starks,CB,ARI,ARI,CB,10.0,4600720.0,8600720.0,3600000.0,5000000.0,720.0
Curtis Conway,WR,SD,SD,WR,13.0,4600540.0,3600540.0,2725000.0,0.0,875540.0
Marshall Faulk,RB,STL,STL,RB,14.0,4590559.0,1.1595E7,650000.0,1.0695E7,250000.0
Robert Porcher,DE,DET,DET,DE,15.0,4584905.0,4002160.0,250000.0,3750000.0,2160.0
Michael McCrary,DE,BAL,BAL,DE,5.0,4581547.0,4050000.0,650000.0,3400000.0,0.0
Norman Hand,DT,NO,NO,DT,16.0,4575000.0,3200000.0,3000000.0,0.0,200000.0
Tim Brown,WR,OAK,OAK,WR,16.0,4530360.0,2650360.0,2650000.0,0.0,360.0
John Randle,DT,SEA,SEA,DT,12.0,4500720.0,3500720.0,3000000.0,0.0,500720.0
LaVar Arrington,LB,WAS,WAS,LB,16.0,4333227.0,2221620.0,762000.0,358000.0,1101620.0
Jermaine Lewis,WR,HOU,HOU,WR,12.0,4314693.0,2950360.0,2200000.0,0.0,750360.0
Hugh Douglas,DE,PHI,PHI,DE,16.0,4300990.0,4100990.0,4100000.0,0.0,990.0
Frank Sanders,WR,ARI,ARI,WR,12.0,4300000.0,3600000.0,3600000.0,0.0,0.0
Jason Taylor,DE,MIA,MIA,DE,16.0,4287700.0,5567700.0,525000.0,3475000.0,1567700.0
Peter Warrick,WR,CIN,CIN,WR,15.0,4240000.0,1820000.0,1270000.0,0.0,550000.0
Charles Woodson,CB,OAK,OAK,CB,8.0,4233333.0,2900000.0,2375000.0,0.0,525000.0
Dwayne Rudd,LB,CLE,CLE,LB,16.0,4230000.0,3100000.0,3025000.0,0.0,75000.0
Koy Detmer,QB,PHI,PHI,QB,14.0,4201620.0,4101620.0,600000.0,3500000.0,1620.0
Mo Lewis,LB,NYJ,NYJ,LB,16.0,4200000.0,2700000.0,1450000.0,0.0,1250000.0
Ted Johnson,LB,NE,NE,LB,14.0,4026850.0,1655600.0,650000.0,0.0,1005600.0
Ashley Ambrose,CB,ATL,ATL,CB,16.0,4000578.0,2500578.0,2450000.0,0.0,50578.0
Kurt Warner,QB,STL,STL,QB,7.0,3990000.0,6625000.0,525000.0,0.0,6100000.0
Derrick Brooks,LB,TB,TB,LB,16.0,3935493.0,1002160.0,1000000.0,0.0,2160.0
Edgerrin James,RB,IND,IND,RB,14.0,3932321.0,4460000.0,1250000.0,2875000.0,335000.0
Jay Riemersma,TE,BUF,BUF,TE,16.0,3898980.0,2526980.0,2525000.0,0.0,1980.0
Dan Wilkinson,DT,WAS,WAS,DT,12.0,3837499.0,750000.0,650000.0,0.0,100000.0
Tyrone Williams,CB,GB,GB,CB,15.0,3801080.0,3601080.0,2600000.0,1000000.0,1080.0
Ed McCaffrey,WR,DEN,DEN,WR,16.0,3795977.0,3153600.0,3150000.0,0.0,3600.0
Doug Flutie,QB,SD,SD,QB,1.0,3761966.0,4301966.0,3000000.0,1300000.0,1966.0
Bobby Taylor,CB,PHI,PHI,CB,16.0,3750900.0,3500900.0,3500000.0,0.0,900.0
Marvin Harrison,WR,IND,IND,WR,16.0,3734590.0,3000000.0,525000.0,2475000.0,0.0
Rich Gannon,QB,OAK,OAK,QB,16.0,3714285.0,6000000.0,1000000.0,3500000.0,1500000.0
Eric Moulds,WR,BUF,BUF,WR,16.0,3650000.0,1650000.0,1550000.0,0.0,100000.0
Randall Godfrey,LB,TEN,TEN,LB,8.0,3609530.0,4503780.0,525000.0,3975000.0,3780.0
Travis Hall,DE,ATL,ATL,DE,11.0,3578571.0,7200000.0,1300000.0,5800000.0,100000.0
Mark Bruener,TE,PIT,PIT,TE,12.0,3573253.0,4103420.0,1100000.0,3000000.0,3420.0
Wayne Chrebet,WR,NYJ,NYJ,WR,15.0,3473130.0,6908080.0,700000.0,6008080.0,200000.0
Jerome Bettis,RB,PIT,PIT,RB,13.0,3440000.0,2440000.0,2250000.0,0.0,190000.0
Randy Moss,WR,MIN,MIN,WR,16.0,3432638.0,623115.0,525000.0,0.0,98115.0
Ray Buchanan,S,ATL,ATL,S,12.0,3409804.0,2076471.0,2650000.0,0.0,50000.0
