name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Tom Brady,QB,NE,NE,QB,16.0,1.382859E7,1.600484E7,4000000.0,0.0,1.200484E7
Michael Vick,QB,ATL,ATL,QB,16.0,1.3074837E7,8401980.0,1400000.0,0.0,7001980.0
Carson Palmer,QB,CIN,CIN,QB,16.0,1.298E7,1.575E7,6750000.0,0.0,9000000.0
Brett Favre,QB,GB,GB,QB,16.0,1.2634325E7,1.000099E7,7000000.0,0.0,3000990.0
Julius Peppers,DE,CAR,CAR,DE,16.0,1.12675E7,7365000.0,2715000.0,4500000.0,150000.0
Peyton Manning,QB,IND,IND,QB,16.0,1.0571068E7,1.00044E7,1000000.0,0.0,9004400.0
Andre Johnson,WR,HOU,HOU,WR,16.0,9786664.0,7600000.0,5000000.0,0.0,2600000.0
Randy Moss,WR,OAK,OAK,WR,13.0,9522460.0,8251210.0,7500000.0,0.0,751210.0
Edgerrin James,RB,ARI,ARI,RB,16.0,9500770.0,1.475077E7,3250000.0,7000000.0,4500770.0
Champ Bailey,CB,DEN,DEN,CB,16.0,9498100.0,6006100.0,5500000.0,0.0,506100.0
Jason Taylor,DE,MIA,MIA,DE,16.0,9464625.0,7750000.0,2750000.0,0.0,5000000.0
Dewayne Robertson,DT,NYJ,NYJ,DT,16.0,9417760.0,6618655.0,4669994.0,0.0,1948661.0
Simeon Rice,DE,TB,TB,DE,8.0,9201320.0,6001320.0,6000000.0,0.0,1320.0
Kawika Mitchell,LB,KC,KC,LB,16.0,9110880.0,524880.0,500000.0,0.0,24880.0
Richard Seymour,DT,NE,NE,DT,16.0,9085160.0,2.469116E7,585000.0,5340000.0,1.876616E7
Donovan McNabb,QB,PHI,PHI,QB,10.0,8555121.0,5501210.0,5500000.0,0.0,1210.0
Ray Lewis,LB,BAL,BAL,LB,14.0,8429451.0,5500880.0,5500000.0,0.0,880.0
Chris McAlister,CB,BAL,BAL,CB,16.0,8407962.0,5500880.0,5500000.0,0.0,880.0
Jay Bellamy,S,NO,NO,S,11.0,8300000.0,600000.0,850000.0,0.0,0.0
Trent Green,QB,KC,KC,QB,8.0,8298808.0,6000000.0,5700000.0,0.0,300000.0
Bryant Young,DE,SF,SF,DE,16.0,7884051.0,4255500.0,2250000.0,0.0,2005500.0
David Anderson,WR,HOU,HOU,WR,9.0,7824006.0,177941.0,275000.0,0.0,0.0
Darren Howard,DE,PHI,PHI,DE,16.0,7702860.0,1.050286E7,1000000.0,3500000.0,6002860.0
Marc Bulger,QB,STL,STL,QB,16.0,7585630.0,5126630.0,5123000.0,0.0,3630.0
Torry Holt,WR,STL,STL,WR,16.0,7404714.0,5200000.0,3850000.0,0.0,1350000.0
Eli Manning,QB,NYG,NYG,QB,16.0,7388074.0,1641000.0,1641000.0,0.0,0.0
Jake Plummer,QB,DEN,DEN,QB,16.0,7357200.0,6505200.0,4300000.0,0.0,2205200.0
Braylon Edwards,WR,CLE,CLE,WR,16.0,7336000.0,5975000.0,350000.0,0.0,5625000.0
Tiki Barber,RB,NYG,NYG,RB,16.0,7328335.0,4250000.0,4150000.0,0.0,100000.0
Charles Woodson,CB,GB,GB,CB,16.0,7303080.0,1.050308E7,1500000.0,4000000.0,5003080.0
Zach Thomas,LB,MIA,MIA,LB,16.0,7287000.0,4950000.0,4950000.0,0.0,0.0
David Carr,QB,HOU,HOU,QB,16.0,7255940.0,1.325594E7,5250000.0,0.0,8005940.0
Michael Strahan,DE,NYG,NYG,DE,9.0,7228284.0,4999999.0,5777777.0,0.0,1000000.0
Nate Clements,CB,BUF,BUF,CB,16.0,7226000.0,7226000.0,7226000.0,0.0,0.0
Chad Ochocinco,WR,CIN,CIN,WR,16.0,7119801.0,1.175E7,2750000.0,5000000.0,4000000.0
Keith Bulluck,LB,TEN,TEN,LB,16.0,7111308.0,4502640.0,3500000.0,0.0,1002640.0
Quentin Jammer,CB,SD,SD,CB,16.0,7076114.0,6555280.0,800000.0,2000000.0,3755280.0
Rod Smith,WR,DEN,DEN,WR,16.0,7055938.0,5009510.0,3000000.0,0.0,2009510.0
Ronde Barber,CB,TB,TB,CB,16.0,7037960.0,6223960.0,4000000.0,1000000.0,1223960.0
Laveranues Coles,WR,NYJ,NYJ,WR,16.0,7000000.0,6000000.0,4125000.0,0.0,3000000.0
John Henderson,DT,JAX,JAX,DT,16.0,6936500.0,1.0595E7,585000.0,6450000.0,3560000.0
Derrick Brooks,LB,TB,TB,LB,16.0,6912803.0,3005720.0,3000000.0,0.0,5720.0
Terrell Owens,WR,DAL,DAL,WR,16.0,6667766.0,1.00011E7,5000000.0,5000000.0,1100.0
Jamal Williams,DT,SD,SD,DT,16.0,6650330.0,6250330.0,750000.0,0.0,5500330.0
Tony Gonzalez,TE,KC,KC,TE,15.0,6530000.0,4000000.0,0.0,0.0,0.0
Byron Leftwich,QB,JAX,JAX,QB,6.0,6487665.0,4510000.0,3960000.0,0.0,550000.0
Anthony Adams,DT,SF,SF,DT,14.0,6487620.0,504620.0,500000.0,0.0,4620.0
Al Wilson,LB,DEN,DEN,LB,15.0,6486733.0,4403400.0,3900000.0,0.0,503400.0
Matt Hasselbeck,QB,SEA,SEA,QB,12.0,6453520.0,3253520.0,3250000.0,0.0,3520.0
Shaun Ellis,DE,NYJ,NYJ,DE,16.0,6433333.0,4200000.0,1750000.0,0.0,2450000.0
Leonard Little,DE,STL,STL,DE,16.0,6425000.0,1.0E7,3800000.0,6100000.0,100000.0
Patrick Kerney,DE,ATL,ATL,DE,9.0,6414285.0,5200000.0,4950000.0,0.0,250000.0
Takeo Spikes,LB,BUF,BUF,LB,12.0,6400000.0,4600000.0,4500000.0,0.0,100000.0
Marvin Harrison,WR,IND,IND,WR,16.0,6400000.0,1.2E7,2000000.0,0.0,1.0E7
Amani Toomer,WR,NYG,NYG,WR,8.0,6376540.0,2901540.0,2400000.0,0.0,501540.0
Dwight Freeney,DE,IND,IND,DE,16.0,6332035.0,5001320.0,5000000.0,0.0,1320.0
LaDainian Tomlinson,RB,SD,SD,RB,16.0,6317436.0,4250770.0,4250000.0,0.0,770.0
Dan Morgan,LB,CAR,CAR,LB,1.0,6285000.0,5085000.0,585000.0,0.0,4500000.0
Jevon Kearse,DE,PHI,PHI,DE,2.0,6200000.0,4200000.0,2075000.0,0.0,2125000.0
Larry Fitzgerald,WR,ARI,ARI,WR,13.0,6122460.0,3318710.0,3317500.0,0.0,1210.0
Warren Sapp,DT,OAK,OAK,DT,16.0,6097000.0,4600000.0,4500000.0,0.0,100000.0
Chad Pennington,QB,NYJ,NYJ,QB,16.0,6040000.0,3040000.0,585000.0,0.0,2455000.0
LaMont Jordan,RB,OAK,OAK,RB,9.0,6025880.0,4625880.0,625000.0,0.0,4000880.0
Aaron Kampman,DE,GB,GB,DE,16.0,6005720.0,1.200572E7,900000.0,8000000.0,3105720.0
Drew Brees,QB,NO,NO,QB,16.0,6000000.0,2.2E7,1900000.0,8000000.0,1.21E7
Mike Rucker,DE,CAR,CAR,DE,14.0,5949000.0,4600000.0,1000000.0,1150000.0,2450000.0
Shaun Alexander,RB,SEA,SEA,RB,10.0,5925000.0,1.5125E7,1625000.0,1.15E7,2000000.0
Deuce McAllister,RB,NO,NO,RB,15.0,5855000.0,7050000.0,1450000.0,0.0,5600000.0
Brian Urlacher,LB,CHI,CHI,LB,16.0,5850510.0,4000000.0,3950000.0,0.0,50000.0
Grant Wistrom,DE,SEA,SEA,DE,16.0,5837293.0,3503960.0,3500000.0,0.0,3960.0
Hines Ward,WR,PIT,PIT,WR,14.0,5753080.0,7753080.0,2750000.0,0.0,5003080.0
Warrick Dunn,RB,ATL,ATL,RB,16.0,5731082.0,5202750.0,2700000.0,2500000.0,2750.0
Adewale Ogunleye,DE,CHI,CHI,DE,14.0,5662705.0,4003850.0,4000000.0,0.0,3850.0
John Abraham,DE,ATL,ATL,DE,8.0,5503300.0,1.55033E7,2000000.0,1.25E7,1003300.0
Rosevelt Colvin,LB,NE,NE,LB,16.0,5482840.0,3654840.0,3650000.0,0.0,4840.0
Muhsin Muhammad,WR,CHI,CHI,WR,16.0,5473850.0,4273850.0,1020000.0,0.0,3253850.0
Kabeer Gbaja-Biamila,DE,GB,GB,DE,16.0,5426928.0,3855500.0,3850000.0,0.0,5500.0
Andra Davis,LB,CLE,CLE,LB,14.0,5409620.0,4504620.0,800000.0,0.0,3704620.0
Donnie Edwards,LB,SD,SD,LB,16.0,5352420.0,4252420.0,3550000.0,0.0,702420.0
Isaac Bruce,WR,STL,STL,WR,16.0,5333333.0,6000000.0,5000000.0,1000000.0,0.0
Julian Peterson,LB,SEA,SEA,LB,16.0,5302640.0,1.450264E7,1000000.0,1.15E7,2002640.0
Joey Porter,LB,PIT,PIT,LB,14.0,5237083.0,3850000.0,3850000.0,0.0,0.0
Mark Brunell,QB,WAS,WAS,QB,10.0,5233212.0,4004291.0,2250000.0,411765.0,4290.0
Samari Rolle,CB,BAL,BAL,CB,16.0,5201100.0,3001100.0,3000000.0,0.0,1100.0
Brian Dawkins,S,PHI,PHI,S,16.0,5191355.0,5000880.0,3000000.0,1000000.0,1000880.0
Ben Leber,LB,MIN,MIN,LB,15.0,5185000.0,7585000.0,1535000.0,3000000.0,3050000.0
Philip Rivers,QB,SD,SD,QB,16.0,5170500.0,620500.0,615000.0,0.0,5500.0
Rashean Mathis,CB,JAX,JAX,CB,16.0,5134000.0,5200000.0,500000.0,0.0,4700000.0
Dre' Bly,CB,DET,DET,CB,16.0,5102860.0,3802860.0,3800000.0,0.0,2860.0
Reggie Wayne,WR,IND,IND,WR,16.0,5100440.0,1.510044E7,2600000.0,1.25E7,440.0
Hunter Hillenmeyer,LB,CHI,CHI,LB,15.0,5089290.0,5089290.0,585000.0,0.0,4504290.0
Kurt Warner,QB,ARI,ARI,QB,7.0,5001650.0,7001650.0,4000000.0,3000000.0,1650.0
