name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Antoine Winfield,CB,MIN,MIN,CB,14.0,1.25E7,1.25E7,1600000.0,0.0,1.09E7
Ty Law,CB,NE,NE,CB,7.0,1.0206965E7,7505600.0,5900000.0,0.0,1605600.0
Brett Favre,QB,GB,GB,QB,16.0,9534333.0,8501000.0,5500000.0,1200000.0,1801000.0
Randy Moss,WR,MIN,MIN,WR,13.0,8882727.0,6073204.0,5750000.0,0.0,323204.0
Samari Rolle,CB,TEN,TEN,CB,12.0,8813335.0,5500000.0,4500000.0,0.0,1000000.0
Charles Woodson,CB,OAK,OAK,CB,13.0,8781000.0,8781000.0,8781000.0,0.0,0.0
Peyton Manning,QB,IND,IND,QB,16.0,8304366.0,3.50377E7,535000.0,3.45E7,2700.0
Marvin Harrison,WR,IND,IND,WR,16.0,8083280.0,1.0560165E7,4559765.0,6000000.0,400.0
Patrick Surtain,CB,MIA,MIA,CB,15.0,7934371.0,5722000.0,5400000.0,0.0,322000.0
Michael Vick,QB,ATL,ATL,QB,15.0,7895257.0,1.25024E7,5000000.0,7500000.0,2400.0
Donovan McNabb,QB,PHI,PHI,QB,15.0,7863355.0,1.10023E7,4000000.0,7000000.0,2300.0
Trevor Pryce,DT,DEN,DEN,DT,2.0,7816667.0,6050000.0,5350000.0,0.0,700000.0
Isaac Bruce,WR,STL,STL,WR,16.0,7740709.0,5800000.0,4700000.0,0.0,1100000.0
Courtney Brown,DE,CLE,CLE,DE,2.0,7555266.0,6705600.0,4700000.0,1250000.0,755600.0
Marshall Faulk,RB,STL,STL,RB,14.0,7527856.0,6000000.0,4000000.0,0.0,2000000.0
Brian Russell,S,MIN,MIN,S,16.0,7382400.0,7382400.0,380000.0,0.0,7002400.0
Eric Moulds,WR,BUF,BUF,WR,16.0,7345000.0,5345000.0,4245000.0,0.0,1100000.0
Terrell Owens,WR,PHI,PHI,WR,14.0,7244033.0,9160700.0,660000.0,2300000.0,6200700.0
Ray Lewis,LB,BAL,BAL,LB,15.0,6929071.0,4000500.0,4000000.0,0.0,500.0
Brad Johnson,QB,TB,TB,QB,4.0,6802800.0,4002800.0,3250000.0,0.0,752800.0
Edgerrin James,RB,IND,IND,RB,16.0,6734122.0,4510000.0,1400000.0,0.0,3110000.0
LaDainian Tomlinson,RB,SD,SD,RB,15.0,6666666.0,1.6E7,455000.0,1.24E7,3145000.0
Michael Strahan,DE,NYG,NYG,DE,8.0,6580685.0,4352400.0,4250000.0,0.0,102400.0
Jevon Kearse,DE,PHI,PHI,DE,14.0,6536500.0,1.65365E7,535000.0,1.2E7,4001500.0
Jamal Lewis,RB,BAL,BAL,RB,12.0,6525396.0,4765029.0,2853529.0,0.0,1911500.0
Darren Howard,DE,NO,NO,DE,13.0,6504600.0,6504600.0,6503000.0,0.0,1600.0
Jimmy Smith,WR,JAX,JAX,WR,16.0,6449333.0,3600000.0,3500000.0,0.0,100000.0
