name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Peyton Manning,QB,IND,IND,QB,16.0,1.870432E7,1.150432E7,1.15E7,0.0,4320.0
Tom Brady,QB,NE,NE,QB,1.0,1.462132E7,8001320.0,5000000.0,5280000.0,3001320.0
Julius Peppers,DE,CAR,CAR,DE,16.0,1.41375E7,1.1735E7,6500000.0,0.0,5235000.0
Carson Palmer,QB,CIN,CIN,QB,4.0,1.3980001E7,7750000.0,7750000.0,0.0,0.0
Eli Manning,QB,NYG,NYG,QB,16.0,1.2916666E7,9950000.0,8450000.0,900000.0,1500000.0
Champ Bailey,CB,DEN,DEN,CB,9.0,1.269005E7,8003050.0,7500000.0,4780000.0,503050.0
Marvin Harrison,WR,IND,IND,WR,15.0,1.2E7,7600000.0,7600000.0,0.0,0.0
Brett Favre,QB,NYJ,NYJ,QB,16.0,1.2E7,1.2E7,1.2E7,0.0,0.0
Jake Delhomme,QB,CAR,CAR,QB,16.0,1.0956666E7,6190000.0,3690000.0,0.0,2500000.0
Chris McAlister,CB,BAL,BAL,CB,6.0,1.0907322E7,8000240.0,8000000.0,3957494.0,240.0
Dan Klecko,DT,PHI,PHI,DT,16.0,1.065172E7,1.064172E7,605000.0,0.0,1.003672E7
Lee Evans,WR,BUF,BUF,WR,16.0,1.0462627E7,1.1818812E7,1.173077E7,0.0,88042.0
Marcus Hamilton,CB,CHI,CHI,CB,9.0,1.0242941E7,1.0295E7,295000.0,0.0,1.0E7
Matt Hasselbeck,QB,SEA,SEA,QB,7.0,9954200.0,6754200.0,5750000.0,1.6E7,1004200.0
Nnamdi Asomugha,CB,OAK,OAK,CB,15.0,9765000.0,9765000.0,9765000.0,0.0,0.0
Bernard Berrian,WR,MIN,MIN,WR,16.0,9538333.0,1.3705E7,605000.0,5000000.0,8100000.0
David Garrard,QB,JAX,JAX,QB,16.0,9506720.0,9706720.0,2975000.0,0.0,6731720.0
Ray Lewis,LB,BAL,BAL,LB,16.0,9428814.0,6500240.0,6500000.0,1.0E7,240.0
Donovan McNabb,QB,PHI,PHI,QB,16.0,9355832.0,6301920.0,6300000.0,1.35E7,1920.0
Torry Holt,WR,STL,STL,WR,16.0,9204714.0,7000000.0,5650000.0,0.0,1350000.0
Asante Samuel,CB,PHI,PHI,CB,15.0,9145000.0,1.4145E7,645000.0,6000000.0,7500000.0
Marc Bulger,QB,STL,STL,QB,15.0,9002400.0,7002400.0,7000000.0,1.2E7,2400.0
Drew Brees,QB,NO,NO,QB,16.0,9000000.0,5000000.0,4800000.0,8000000.0,200000.0
Bob Sanders,S,IND,IND,S,6.0,8743332.0,7105000.0,605000.0,8000000.0,6500000.0
Aaron Schobel,DE,BUF,BUF,DE,5.0,8723555.0,7156889.0,1500000.0,0.0,5656889.0
Andre Johnson,WR,HOU,HOU,WR,16.0,8704848.0,1.1175E7,2825000.0,6500000.0,1850000.0
John Abraham,DE,ATL,ATL,DE,16.0,8501920.0,6001920.0,6000000.0,1.25E7,1920.0
Terrell Suggs,DE,BAL,BAL,DE,16.0,8475000.0,8475000.0,8475000.0,0.0,0.0
Pat Williams,DT,MIN,MIN,DT,14.0,8400124.0,7489584.0,4000000.0,3750000.0,3489584.0
Patrick Surtain,CB,KC,KC,CB,8.0,8380000.0,6000000.0,5650000.0,0.0,350000.0
Charles Tillman,CB,CHI,CHI,CB,15.0,8216666.0,6800000.0,750000.0,8500000.0,6050000.0
Karlos Dansby,LB,ARI,ARI,LB,16.0,8066680.0,8066680.0,8065000.0,0.0,1680.0
Jared Allen,DE,MIN,MIN,DE,16.0,8002531.0,2.1119256E7,750000.0,1.5500069E7,4869187.0
Braylon Edwards,WR,CLE,CLE,WR,16.0,7993750.0,5450000.0,4350000.0,6500000.0,1100000.0
Ben Roethlisberger,QB,PIT,PIT,QB,16.0,7971920.0,2.770192E7,2500000.0,2.52E7,1920.0
Keith Brooking,LB,ATL,ATL,LB,16.0,7942226.0,5750000.0,4900000.0,2700000.0,850000.0
Keith Bulluck,LB,TEN,TEN,LB,16.0,7862388.0,6253720.0,4250000.0,9710000.0,2003720.0
LaDainian Tomlinson,RB,SD,SD,RB,16.0,7817386.0,5750720.0,5750000.0,1.24E7,720.0
Donald Strickland,CB,SF,SF,CB,14.0,7767500.0,7767500.0,605000.0,145000.0,7017500.0
Kabeer Gbaja-Biamila,DE,GB,GB,DE,7.0,7726828.0,7255400.0,6150000.0,0.0,1105400.0
Philip Rivers,QB,SD,SD,QB,16.0,7630040.0,9380040.0,5750000.0,0.0,3630040.0
Jason Taylor,DE,WAS,WAS,DE,13.0,7500000.0,8305760.0,7500000.0,0.0,805760.0
Shawn Springs,CB,WAS,WAS,CB,9.0,7483333.0,5000000.0,5000000.0,3100000.0,0.0
Joey Porter,LB,MIA,MIA,LB,16.0,7400000.0,5200000.0,4800000.0,1.2E7,400000.0
Julian Peterson,LB,SEA,SEA,LB,16.0,7301800.0,5001800.0,3500000.0,1.15E7,1501800.0
Albert Haynesworth,DT,TEN,TEN,DT,14.0,7250003.0,7250003.0,7250003.0,0.0,0.0
Larry Fitzgerald,WR,ARI,ARI,WR,16.0,6996814.0,1.710348E7,2100000.0,1.5E7,3480.0
Luis Castillo,DE,SD,SD,DE,15.0,6989380.0,1.120588E7,700000.0,6150000.0,4355880.0
Mario Williams,DE,HOU,HOU,DE,16.0,6881720.0,3981720.0,2350000.0,0.0,1631720.0
Richard Seymour,DT,NE,NE,DT,15.0,6836720.0,836720.0,730000.0,5340000.0,106720.0
Troy Polamalu,S,PIT,PIT,S,16.0,6820000.0,4625000.0,1625000.0,1.0975E7,3000000.0
Robert Mathis,DE,IND,IND,DE,15.0,6810000.0,4410000.0,2250000.0,3900000.0,2160000.0
Deion Branch,WR,SEA,SEA,WR,8.0,6764680.0,4164680.0,3500000.0,7000000.0,664680.0
Edgerrin James,RB,ARI,ARI,RB,13.0,6750840.0,5250840.0,5000000.0,7000000.0,250840.0
Hines Ward,WR,PIT,PIT,WR,16.0,6703840.0,5453840.0,4700000.0,5000000.0,753840.0
Reggie Wayne,WR,IND,IND,WR,16.0,6660000.0,4160000.0,3500000.0,1.25E7,660000.0
Shaun Phillips,LB,SD,SD,LB,16.0,6637912.0,5700000.0,2400000.0,7000000.0,3300000.0
Drayton Florence,CB,JAX,JAX,CB,15.0,6505280.0,9005280.0,1000000.0,3000000.0,5005280.0
Jamal Lewis,RB,CLE,CLE,RB,16.0,6500000.0,6500000.0,1400000.0,0.0,5100000.0
Marcus Washington,LB,WAS,WAS,LB,10.0,6445416.0,4425000.0,4425000.0,3415000.0,0.0
Chad Ochocinco,WR,CIN,CIN,WR,13.0,6415370.0,3550000.0,3000000.0,5000000.0,550000.0
Adewale Ogunleye,DE,CHI,CHI,DE,16.0,6362935.0,4704080.0,4700000.0,1.0E7,4080.0
Cornelius Griffin,DT,WAS,WAS,DT,14.0,6166333.0,4200000.0,4200000.0,2915000.0,0.0
Ronnie Brown,RB,MIA,MIA,RB,16.0,6106800.0,9332274.0,3658266.0,0.0,5674008.0
Clinton Portis,RB,WAS,WAS,RB,16.0,6035523.0,1.043494E7,605000.0,9325500.0,504440.0
Tommie Harris,DT,CHI,CHI,DT,14.0,6031862.0,1.19262E7,605000.0,6500000.0,4821200.0
Randy Moss,WR,NE,NE,WR,16.0,6006720.0,1.400672E7,1900000.0,1.2E7,106720.0
Kurt Warner,QB,ARI,ARI,QB,16.0,6004320.0,8004320.0,4000000.0,3000000.0,4004320.0
Laveranues Coles,WR,NYJ,NYJ,WR,16.0,6000000.0,5000000.0,5000000.0,0.0,0.0
Leonard Little,DE,STL,STL,DE,14.0,5943960.0,833960.0,830000.0,0.0,3960.0
Ken Lucas,CB,CAR,CAR,CB,16.0,5905000.0,5400000.0,800000.0,4500000.0,100000.0
Kris Jenkins,DT,NYJ,NYJ,DT,16.0,5900000.0,9500000.0,750000.0,4500000.0,4250000.0
Plaxico Burress,WR,NYG,NYG,WR,10.0,5892353.0,7850000.0,2000000.0,4250000.0,1600000.0
Jon Kitna,QB,DET,DET,QB,4.0,5875000.0,5000000.0,2950000.0,3500000.0,2050000.0
Chris Chambers,WR,SD,SD,WR,14.0,5853840.0,5703840.0,5100000.0,2250000.0,603840.0
Will Witherspoon,LB,STL,STL,LB,16.0,5803120.0,4003120.0,4000000.0,9000000.0,3120.0
Dwight Freeney,DE,IND,IND,DE,15.0,5752400.0,752400.0,750000.0,1.5E7,2400.0
Matt Schaub,QB,HOU,HOU,QB,11.0,5750000.0,5000000.0,4950000.0,4500000.0,50000.0
Brian Urlacher,LB,CHI,CHI,LB,16.0,5725509.0,4139285.0,1589285.0,2500000.0,50000.0
Terrell Owens,WR,DAL,DAL,WR,16.0,5723228.0,1.373156E7,830000.0,1.29E7,1560.0
Antwan Odom,DE,CIN,CIN,DE,12.0,5700000.0,1.28E7,900000.0,8500000.0,3400000.0
Antoine Winfield,CB,MIN,MIN,CB,16.0,5700000.0,5700000.0,5600000.0,0.0,100000.0
Donald Driver,WR,GB,GB,WR,16.0,5681720.0,5231720.0,2900000.0,0.0,2331720.0
Marcus Stroud,DT,BUF,BUF,DT,16.0,5668706.0,5252040.0,3000000.0,0.0,2252040.0
Larry Johnson,RB,KC,KC,RB,12.0,5656190.0,3600000.0,2500000.0,1.25E7,1100000.0
Anthony Henry,CB,DAL,DAL,CB,16.0,5605760.0,3605760.0,2600000.0,1.0E7,1005760.0
Thomas Jones,RB,NYJ,NYJ,RB,16.0,5600000.0,4100000.0,2000000.0,6000000.0,2100000.0
Bart Scott,LB,BAL,BAL,LB,16.0,5569308.0,3402640.0,3400000.0,6500000.0,2640.0
Nate Clements,CB,SF,SF,CB,15.0,5550000.0,3883334.0,3383334.0,0.0,500000.0
Mike McKenzie,CB,NO,NO,CB,7.0,5525000.0,4125000.0,3000000.0,7000000.0,1125000.0
Morlon Greenwood,LB,HOU,HOU,LB,15.0,5517000.0,4217000.0,4017000.0,0.0,200000.0
Lance Briggs,LB,CHI,CHI,LB,16.0,5471666.0,8805000.0,805000.0,4000000.0,4000000.0
