name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Mark Brunell,QB,JAX,JAX,QB,15.0,8854798.0,8854798.0,500000.0,8000000.0,3600.0
Michael Strahan,DE,NYG,NYG,DE,16.0,8752320.0,8752320.0,4500000.0,2500000.0,2320.0
Peyton Manning,QB,IND,IND,QB,16.0,8487893.0,8487893.0,4452000.0,0.0,2560.0
Curtis Martin,RB,NYJ,NYJ,RB,16.0,8458485.0,8458485.0,5364800.0,0.0,3360.0
Edgerrin James,RB,IND,IND,RB,6.0,7063572.0,7063572.0,1225000.0,0.0,335000.0
Jake Plummer,QB,ARI,ARI,QB,16.0,6980219.0,6980219.0,4000000.0,0.0,320.0
Drew Bledsoe,QB,NE,NE,QB,2.0,6936391.0,6936391.0,3400000.0,0.0,5200.0
Chad Brown,LB,SEA,SEA,LB,16.0,6921473.0,6921473.0,4200000.0,0.0,640.0
Kordell Stewart,QB,PIT,PIT,QB,16.0,6021280.0,6021280.0,4400000.0,0.0,1280.0
Warren Sapp,DT,TB,TB,DT,16.0,5930000.0,5930000.0,4200000.0,0.0,0.0
Steve McNair,QB,TEN,TEN,QB,15.0,5862084.0,5862084.0,500000.0,1.0E7,2400.0
Sean Gilbert,DT,CAR,CAR,DT,9.0,5762754.0,5762754.0,1500000.0,5050000.0,2754.0
Zach Thomas,LB,MIA,MIA,LB,15.0,5664250.0,5664250.0,3750000.0,0.0,0.0
Junior Seau,LB,SD,SD,LB,16.0,5584693.0,5584693.0,3000000.0,0.0,1360.0
Rob Johnson,QB,BUF,BUF,QB,8.0,5554570.0,5554570.0,477000.0,3523000.0,2320.0
Brett Favre,QB,GB,GB,QB,16.0,5484866.0,5484866.0,477000.0,1.1E7,880.0
Jamal Anderson,RB,ATL,ATL,RB,3.0,5300000.0,5300000.0,2800000.0,0.0,1000000.0
Robert Porcher,DE,DET,DET,DE,16.0,5251171.0,5251171.0,2500000.0,0.0,1760.0
Marshall Faulk,RB,STL,STL,RB,14.0,5212703.0,5212703.0,2800000.0,0.0,250000.0
Jessie Armstead,LB,NYG,NYG,LB,16.0,5190608.0,5190608.0,3400000.0,0.0,0.0
Joe Johnson,DE,NO,NO,DE,16.0,5150000.0,5150000.0,2000000.0,2900000.0,100000.0
Ty Law,CB,NE,NE,CB,16.0,5033771.0,5033771.0,2400000.0,0.0,605200.0
Ricky Watters,RB,SEA,SEA,RB,5.0,5000320.0,5000320.0,3000000.0,0.0,320.0
Bryant Young,DE,SF,SF,DE,16.0,4999811.0,4999811.0,477000.0,1.25E7,0.0
Bryan Robinson,DE,CHI,CHI,DE,16.0,4843666.0,8843666.0,4177000.0,4000000.0,0.0
Antonio Freeman,WR,GB,GB,WR,16.0,4829451.0,4829451.0,1700000.0,0.0,1700880.0
Emmitt Smith,RB,DAL,DAL,RB,14.0,4786480.0,4786480.0,477000.0,5373000.0,2880.0
La'Roi Glover,DT,NO,NO,DT,16.0,4626000.0,4626000.0,1936000.0,0.0,2050000.0
Phillip Daniels,DE,CHI,CHI,DE,16.0,4600880.0,4600880.0,1750000.0,0.0,1000880.0
Rich Gannon,QB,OAK,OAK,QB,16.0,4566685.0,4566685.0,3500000.0,0.0,202400.0
Jason Taylor,DE,MIA,MIA,DE,16.0,4538380.0,4538380.0,2000000.0,9000000.0,1038380.0
Corey Fuller,CB,CLE,CLE,CB,16.0,4525000.0,4525000.0,3400000.0,0.0,125000.0
Donnie Abraham,CB,TB,TB,CB,15.0,4501920.0,4501920.0,3000000.0,0.0,501920.0
Corey Dillon,RB,CIN,CIN,RB,16.0,4500000.0,1.5E7,2300000.0,1.05E7,100000.0
Darren Woodson,S,DAL,DAL,S,16.0,4458450.0,4458450.0,1994700.0,1803000.0,3200.0
Doug Evans,CB,CAR,CAR,CB,16.0,4455574.0,4455574.0,1000000.0,1000000.0,1003074.0
Michael McCrary,DE,BAL,BAL,DE,10.0,4446153.0,4446153.0,1000000.0,3000000.0,320.0
Cris Carter,WR,MIN,MIN,WR,16.0,4407618.0,4407618.0,2000000.0,4000000.0,0.0
Willie McGinest,LB,NE,NE,LB,11.0,4364366.0,4364366.0,477000.0,3900000.0,105200.0
James Stewart,RB,DET,DET,RB,11.0,4302720.0,4302720.0,3150000.0,0.0,2720.0
Kerry Collins,QB,NYG,NYG,QB,16.0,4262560.0,4262560.0,480000.0,3000000.0,2560.0
Aaron Glenn,CB,NYJ,NYJ,CB,13.0,4247177.0,4247177.0,477000.0,3630000.0,100000.0
Ray Lewis,LB,BAL,BAL,LB,16.0,4216986.0,4216986.0,500000.0,4250000.0,320.0
Jeff Burris,CB,IND,IND,CB,15.0,4187173.0,4187173.0,1200000.0,2100000.0,3840.0
Michael Sinclair,DE,SEA,SEA,DE,16.0,4165274.0,4165274.0,2000000.0,0.0,1001600.0
Tim Couch,QB,CLE,CLE,QB,16.0,4152800.0,1.29028E7,389000.0,8750000.0,0.0
Chris Chandler,QB,ATL,ATL,QB,14.0,4104400.0,4104400.0,1400000.0,3600000.0,4400.0
Charles Woodson,CB,OAK,OAK,CB,16.0,4095833.0,4095833.0,2237500.0,0.0,75000.0
