name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Peyton Manning,QB,IND,IND,QB,16.0,1.5360833E7,1.13275E7,9824000.0,0.0,1503500.0
Brett Favre,QB,GB,GB,QB,16.0,9159133.0,5900800.0,4300000.0,0.0,1600800.0
Ty Law,CB,NE,NE,CB,15.0,8806965.0,6105600.0,4900000.0,0.0,1205600.0
Kurt Warner,QB,STL,STL,QB,2.0,8767457.0,5405600.0,5300000.0,0.0,105600.0
Mark Brunell,QB,JAX,JAX,QB,3.0,8755200.0,6755200.0,6750000.0,0.0,5200.0
Bryant Young,DE,SF,SF,DE,16.0,8418049.0,4500000.0,2500000.0,0.0,2000000.0
Randy Moss,WR,MIN,MIN,WR,16.0,7896787.0,5087264.0,5000000.0,0.0,87264.0
Jason Taylor,DE,MIA,MIA,DE,16.0,7866100.0,5671100.0,4500000.0,0.0,1171100.0
Tim Couch,QB,CLE,CLE,QB,10.0,7863800.0,6200000.0,6200000.0,0.0,0.0
Donovan McNabb,QB,PHI,PHI,QB,16.0,7825490.0,4001100.0,4000000.0,0.0,1100.0
Marvin Harrison,WR,IND,IND,WR,15.0,7709590.0,4500000.0,4500000.0,0.0,0.0
Ray Lewis,LB,BAL,BAL,LB,16.0,7621337.0,9976100.0,975000.0,9000000.0,1100.0
Patrick Surtain,CB,MIA,MIA,CB,15.0,7347871.0,5135500.0,5062500.0,0.0,73000.0
Isaac Bruce,WR,STL,STL,WR,15.0,7340709.0,5400000.0,4300000.0,0.0,1100000.0
Sam Madison,CB,MIA,MIA,CB,16.0,7030931.0,5350000.0,5300000.0,0.0,50000.0
Brian Dawkins,S,PHI,PHI,S,7.0,7000240.0,9155000.0,655000.0,6000000.0,2500000.0
Chad Pennington,QB,NYJ,NYJ,QB,10.0,6839807.0,5254000.0,5250000.0,0.0,4000.0
Robert Porcher,DE,DET,DET,DE,14.0,6836745.0,3504000.0,2500000.0,1000000.0,4000.0
Terrell Owens,WR,SF,SF,WR,15.0,6661235.0,4700000.0,4200000.0,0.0,500000.0
Joey Galloway,WR,DAL,DAL,WR,15.0,6643614.0,4857900.0,4855000.0,0.0,2900.0
Warren Sapp,DT,TB,TB,DT,15.0,6600000.0,6600000.0,6600000.0,0.0,0.0
Eddie George,RB,TEN,TEN,RB,16.0,6584834.0,4251500.0,4250000.0,0.0,1500.0
Trevor Pryce,DT,DEN,DEN,DT,16.0,6566667.0,4800000.0,4300000.0,0.0,500000.0
Jeff Garcia,QB,SF,SF,QB,13.0,6384523.0,6500000.0,4250000.0,2250000.0,0.0
Eric Moulds,WR,BUF,BUF,WR,13.0,6325000.0,4325000.0,3100000.0,0.0,1225000.0
Gary Walker,DE,HOU,HOU,DE,4.0,6300000.0,4500000.0,4450000.0,0.0,50000.0
Matt Hasselbeck,QB,SEA,SEA,QB,16.0,6196064.0,5005600.0,5000000.0,0.0,5600.0
Jamal Lewis,RB,BAL,BAL,RB,16.0,6071267.0,4310900.0,2636000.0,0.0,1674900.0
Muhsin Muhammad,WR,CAR,CAR,WR,15.0,5978117.0,4000000.0,3900000.0,0.0,100000.0
Chris McAlister,CB,BAL,BAL,CB,15.0,5962000.0,5762000.0,5762000.0,0.0,0.0
Jamie Sharper,LB,HOU,HOU,LB,16.0,5879000.0,4504000.0,4500000.0,0.0,4000.0
Jimmy Smith,WR,JAX,JAX,WR,12.0,5688627.0,3350000.0,3250000.0,0.0,100000.0
Phillip Daniels,DE,CHI,CHI,DE,16.0,5600800.0,3750800.0,2750000.0,0.0,1000800.0
Marcus Coleman,S,HOU,HOU,S,15.0,5593985.0,4758824.0,2658824.0,1000000.0,1100000.0
