name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Simeon Rice,DE,TB,TB,DE,15.0,1.070088E7,6000880.0,6000000.0,0.0,880.0
Charles Woodson,CB,OAK,OAK,CB,6.0,1.0537E7,1.0537E7,1.0537E7,0.0,0.0
Brett Favre,QB,GB,GB,QB,16.0,1.0133333E7,9500000.0,6500000.0,2000000.0,1000000.0
Derrick Brooks,LB,TB,TB,LB,16.0,9662033.0,5754950.0,5750000.0,0.0,4950.0
Isaac Bruce,WR,STL,STL,WR,11.0,9340709.0,7400000.0,5800000.0,0.0,1600000.0
Fred Smoot,CB,MIN,MIN,CB,11.0,9100000.0,1.23E7,1400000.0,4000000.0,6900000.0
Edgerrin James,RB,IND,IND,RB,15.0,9081000.0,9081000.0,8081000.0,0.0,1000000.0
Joey Harrington,QB,DET,DET,QB,12.0,8543750.0,6000000.0,4950000.0,0.0,1050000.0
Daunte Culpepper,QB,MIN,MIN,QB,7.0,8463655.0,7042090.0,540000.0,0.0,6502090.0
Peyton Manning,QB,IND,IND,QB,16.0,8435186.0,668520.0,665000.0,0.0,3520.0
Ray Lewis,LB,BAL,BAL,LB,6.0,8429121.0,5500550.0,5500000.0,0.0,550.0
Tom Brady,QB,NE,NE,QB,16.0,8427930.0,1.565418E7,1000000.0,1.45E7,154180.0
Drew Brees,QB,SD,SD,QB,16.0,8082070.0,8082070.0,8078000.0,0.0,4070.0
LaDainian Tomlinson,RB,SD,SD,RB,16.0,8067986.0,5001320.0,540000.0,0.0,4461320.0
Michael Vick,QB,ATL,ATL,QB,15.0,7995607.0,2.310275E7,600000.0,2.25E7,2750.0
Bryant Young,DE,SF,SF,DE,13.0,7878549.0,4250000.0,2250000.0,0.0,2000000.0
Donovan McNabb,QB,PHI,PHI,QB,9.0,7862265.0,4001210.0,4000000.0,0.0,1210.0
Jason Taylor,DE,MIA,MIA,DE,16.0,7859583.0,4270000.0,3000000.0,0.0,1270000.0
David Carr,QB,HOU,HOU,QB,16.0,7808566.0,5504400.0,5500000.0,0.0,4400.0
Darren Howard,DE,NO,NO,DE,12.0,7807740.0,7807740.0,7804000.0,0.0,3740.0
Aaron Brooks,QB,NO,NO,QB,13.0,7733333.0,5750000.0,5500000.0,0.0,250000.0
Adewale Ogunleye,DE,CHI,CHI,DE,15.0,7677010.0,6018155.0,1014305.0,0.0,5003850.0
Reggie Hayward,DE,JAX,JAX,DE,15.0,7553080.0,7553080.0,550000.0,0.0,7003080.0
Michael Strahan,DE,NYG,NYG,DE,16.0,7478615.0,5250330.0,5250000.0,0.0,330.0
Trent Green,QB,KC,KC,QB,16.0,7298808.0,5000000.0,4700000.0,0.0,300000.0
Julian Peterson,LB,SF,SF,LB,15.0,7290870.0,7290870.0,5289000.0,2000000.0,1870.0
Steve McNair,QB,TEN,TEN,QB,14.0,7144179.0,7501770.0,765000.0,6735010.0,1760.0
Jamal Williams,DT,SD,SD,DT,16.0,6767400.0,8250000.0,725000.0,2000000.0,5525000.0
