name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Terrell Suggs,DE,BAL,BAL,DE,13.0,7020000.0,1.51E7,1000000.0,1.01E7,4000000.0
Albert Haynesworth,DT,WAS,WAS,DT,12.0,7007280.0,1.100728E7,6000000.0,5000000.0,7280.0
Chris Gamble,CB,CAR,CAR,CB,16.0,7005460.0,1.400546E7,4000000.0,1.0E7,5460.0
Reggie Wayne,WR,IND,IND,WR,16.0,6960000.0,4940000.0,4220000.0,720000.0,0.0
Devin Hester,WR,CHI,CHI,WR,13.0,6885833.0,5750000.0,550000.0,0.0,5200000.0
Shaun Ellis,DE,NYJ,NYJ,DE,15.0,6875000.0,4650000.0,4650000.0,0.0,0.0
Dallas Clark,TE,IND,IND,TE,16.0,6823333.0,3350000.0,3300000.0,0.0,50000.0
Brian Westbrook,RB,PHI,PHI,RB,8.0,6790613.0,4007280.0,4000000.0,0.0,7280.0
Lance Briggs,LB,CHI,CHI,LB,15.0,6766666.0,6100000.0,1100000.0,0.0,5000000.0
Robert Mathis,DE,IND,IND,DE,14.0,6700520.0,4460000.0,2300000.0,0.0,2160000.0
Kelvin Hayden,CB,IND,IND,CB,9.0,6680000.0,1.748E7,1730000.0,1.35E7,2250000.0
Daniel Graham,TE,DEN,DEN,TE,16.0,6650000.0,3400000.0,3200000.0,0.0,200000.0
Darren Sproles,RB,SD,SD,RB,16.0,6627630.0,6627630.0,6621000.0,0.0,6630.0
Lee Evans,WR,BUF,BUF,WR,16.0,6577182.0,9002600.0,4600000.0,4400000.0,2600.0
Shaun Rogers,DT,CLE,CLE,DT,11.0,6573333.0,7400000.0,2400000.0,0.0,5000000.0
Casey Hampton,NT,PIT,PIT,NT,16.0,6552084.0,3175000.0,3075000.0,0.0,100000.0
Jonathan Babineaux,DT,ATL,ATL,DT,16.0,6507280.0,6007280.0,2000000.0,0.0,4007280.0
Kerry Collins,QB,TEN,TEN,QB,7.0,6507280.0,8507280.0,4500000.0,4000000.0,7280.0
Julian Peterson,LB,DET,DET,LB,16.0,6504810.0,6504810.0,6500000.0,0.0,4810.0
Troy Polamalu,S,PIT,PIT,S,5.0,6500200.0,4305200.0,2900000.0,0.0,1405200.0
Adewale Ogunleye,DE,CHI,CHI,DE,14.0,6464056.0,4805200.0,4800000.0,0.0,5200.0
Adalius Thomas,LB,NE,NE,LB,14.0,6407280.0,2007280.0,1900000.0,0.0,107280.0
Ed Reed,S,BAL,BAL,S,12.0,6404160.0,3604160.0,3600000.0,0.0,4160.0
Donald Driver,WR,GB,GB,WR,16.0,6400390.0,6107280.0,3900000.0,0.0,2207280.0
Jamal Lewis,RB,CLE,CLE,RB,9.0,6400000.0,6500000.0,2400000.0,0.0,4100000.0
Todd Heap,TE,BAL,BAL,TE,16.0,6367500.0,3600000.0,3600000.0,0.0,0.0
Oshiomogho Atogwe,S,STL,STL,S,12.0,6349171.0,6349171.0,6342021.0,0.0,7150.0
Tommy Kelly,DE,OAK,OAK,DE,16.0,6337826.0,7001560.0,2500000.0,3538000.0,963560.0
Kris Jenkins,DT,NYJ,NYJ,DT,6.0,6330000.0,5250000.0,750000.0,0.0,4500000.0
Bernard Berrian,WR,MIN,MIN,WR,16.0,6328333.0,5495000.0,2395000.0,0.0,3100000.0
Frank Gore,RB,SF,SF,RB,14.0,6264250.0,4350000.0,2500000.0,0.0,1850000.0
Chris Hope,S,TEN,TEN,S,16.0,6257282.0,4007280.0,4000000.0,0.0,7280.0
Trevor Pryce,DT,BAL,BAL,DT,16.0,6250000.0,4000000.0,4000000.0,0.0,0.0
Terrell Owens,WR,BUF,BUF,WR,16.0,6250000.0,6250000.0,2250000.0,4000000.0,0.0
Antoine Winfield,CB,MIN,MIN,CB,10.0,6200000.0,6200000.0,6100000.0,0.0,100000.0
Clinton Portis,RB,WAS,WAS,RB,8.0,6178365.0,1252280.0,745000.0,0.0,507280.0
Maurice Jones-Drew,RB,JAX,JAX,RB,16.0,6140000.0,1.31E7,4100000.0,9000000.0,0.0
Bob Sanders,S,IND,IND,S,2.0,6130836.0,3950000.0,620000.0,0.0,3330000.0
Ronnie Brown,RB,MIA,MIA,RB,9.0,6056933.0,3608399.0,3608399.0,0.0,0.0
Aaron Kampman,DE,GB,GB,DE,9.0,6005330.0,4005330.0,3900000.0,0.0,105330.0
Nnamdi Asomugha,CB,OAK,OAK,CB,16.0,6001560.0,1.200156E7,4500000.0,7500000.0,1560.0
Pat Williams,DT,MIN,MIN,DT,15.0,5910540.0,4600000.0,3750000.0,0.0,850000.0
David Thornton,LB,TEN,TEN,LB,11.0,5906760.0,4506760.0,3750000.0,0.0,756760.0
T.J. Houshmandzadeh,WR,SEA,SEA,WR,16.0,5906240.0,7506240.0,5500000.0,2000000.0,6240.0
A.J. Hawk,LB,GB,GB,LB,16.0,5902230.0,3530980.0,3025000.0,0.0,505980.0
Ken Hamlin,S,DAL,DAL,S,12.0,5810200.0,4310200.0,4305000.0,0.0,5200.0
LaRon Landry,S,WAS,WAS,S,15.0,5794333.0,6085000.0,935000.0,2730000.0,2420000.0
Parys Haralson,LB,SF,SF,LB,16.0,5781280.0,5737280.0,880000.0,0.0,4857280.0
Dewayne White,DE,DET,DET,DE,10.0,5754600.0,3405850.0,2900000.0,0.0,505850.0
Kerry Rhodes,S,NYJ,NYJ,S,16.0,5752666.0,9950000.0,700000.0,6080000.0,3170000.0
Chad Pennington,QB,MIA,MIA,QB,3.0,5750000.0,5750000.0,3900000.0,0.0,1850000.0
