id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.35525572124556,-6.257338294163673,Entire home/apt,110,2,127,2015-12-29,2.95,5,356
8651971,Beautiful & Bright View(1-bed apt),41369675,Chloe,,Dublin City,53.34413087790927,-6.239549596498312,Entire home/apt,150,3,0,,,1,90
1159647,Superbly Located 2BApt - Portobello,6354629,Wayne,,Dublin City,53.330961703695124,-6.265999542799479,Entire home/apt,115,3,134,2016-01-02,4.72,2,212
3411757,Beautiful Apartment Historic Dublin,17201988,Geraldine,,Dublin City,53.33866799158719,-6.303221374639715,Entire home/apt,120,2,88,2015-12-24,4.82,1,280
6090283,Finest Apartment On Airbnb,30057955,Karina,,Dublin City,53.34191784540545,-6.238944679422691,Entire home/apt,280,1,57,2015-12-21,7.01,2,318
7868471,Comfy modern apt in great location!,3002114,John,,Dublin City,53.34363217691965,-6.29722767486404,Entire home/apt,94,2,9,2015-11-23,2.11,1,183
7122204,Perfect Marlborough Mews in Dublin4,33183890,Patrick,,Dublin City,53.324249960787654,-6.243680971594621,Entire home/apt,140,2,14,2015-10-15,2.55,1,82
6677566,Self Contained Studio/Bedsit No 2,33683963,Eamon,,Dublin City,53.32980592911883,-6.254800392336362,Entire home/apt,90,2,23,2016-01-06,3.67,1,358
4302167,Perfect location to explore Dublin,22331062,Michael,,Dublin City,53.33960137808148,-6.2325127536060405,Entire home/apt,110,3,22,2015-12-06,1.55,2,337
8613307,Apartment in heart of Dublin City,17897701,Laura,,Dublin City,53.330562579324315,-6.266398533577316,Entire home/apt,110,1,5,2016-01-02,2.11,1,22
3593473,NEW! Modern & Clean Centre House!,3619856,Navid & Caro,,Dublin City,53.341775339565565,-6.233282099475472,Private room,69,3,24,2015-10-25,1.34,1,84
9235121,great location in Dublin,28741043,Andrew,,Dublin City,53.330941514085815,-6.223096836164131,Entire home/apt,290,1,0,,,1,39
3645341,2 bed Apt - City Centre,18412735,David,,Dublin City,53.35078397303774,-6.236700694322242,Entire home/apt,185,2,103,2016-01-05,6.04,1,151
3244677,Town House Suite on Pembroke Road,8721943,Tara,,Dublin City,53.333664777598116,-6.239761421058646,Entire home/apt,90,1,104,2015-12-28,5.61,1,332
5855410,11 Pavillion View,21989078,Ken,,Dublin City,53.32644026361629,-6.2645823569945795,Entire home/apt,150,2,11,2016-01-05,1.34,8,0
4488728,1 Bed Apartment near city centre,19740223,Aoife,,Dublin City,53.32027625939131,-6.268278118630223,Entire home/apt,90,2,18,2015-12-07,1.81,1,320
7631467,Rooftop Modern 1 Bedroom Duplex,40033690,Maya,,Dublin City,53.338722889672496,-6.292900601598464,Entire home/apt,99,5,10,2015-12-15,2.19,1,262
4582249,Cute Ranelagh Studio Cottage,16980716,Lorna,,Dublin City,53.320739371964,-6.247547380818782,Entire home/apt,75,2,13,2015-12-30,3.61,1,97
3922926,Bright & cosy Studio apartment.,15924939,Helga,,Dublin City,53.33090704885858,-6.295550493913924,Entire home/apt,70,3,29,2016-01-01,2.61,3,365
2877944,Traditional 2 BD house city centre,14664505,Jacqui,,Dublin City,53.339424702427195,-6.2405087223130815,Entire home/apt,157,4,47,2016-01-03,2.32,1,340
6763724,Bright sunny apartment in Docklands,18152416,Catherine,,Dublin City,53.34120997527834,-6.23506535675584,Entire home/apt,125,3,15,2016-01-02,2.74,2,332
3368444,BATH AVE DUBLIN4 COSY2B MEWS Sleep4,955555,Cepta,,Dublin City,53.335849905520476,-6.226734421530559,Entire home/apt,140,1,72,2015-12-15,3.88,1,354
