,num_votes,rating,tconst,title,year,genre,runtime
74,652143,8.4,tt0105236,Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min
75,525212,8.4,tt0211915,Amélie,2001,"Comedy, Romance",122 min
76,724771,8.4,tt0112573,Braveheart,1995,"Biography, Drama, History",178 min
77,563620,8.4,tt0180093,Requiem for a Dream,2000,Drama,102 min
78,547678,8.4,tt0066921,A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min
79,497073,8.3,tt0075314,Taxi Driver,1976,"Crime, Drama",113 min
80,95916,8.4,tt0036775,Double Indemnity,1944,"Crime, Drama, Film-Noir",107 min
81,532865,8.3,tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy",103 min
82,189397,8.4,tt0056172,Lawrence of Arabia,1962,"Adventure, Biography, Drama",216 min
83,210906,8.4,tt0056592,To Kill a Mockingbird,1962,"Crime, Drama",129 min
84,654275,8.3,tt0338013,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min
85,475848,8.3,tt0093058,Full Metal Jacket,1987,"Drama, War",116 min
86,266138,8.3,tt0086879,Amadeus,1984,"Biography, Drama, History",160 min
87,172483,8.3,tt0070735,The Sting,1973,"Comedy, Crime, Drama",129 min
88,419160,8.3,tt0062622,2001: A Space Odyssey,1968,"Mystery, Sci-Fi",149 min
89,92502,8.3,tt0040522,Bicycle Thieves,1948,Drama,89 min
90,147413,8.3,tt0045152,Singin' in the Rain,1952,"Comedy, Musical, Romance",103 min
91,591663,8.3,tt0208092,Snatch.,2000,"Comedy, Crime",102 min
92,609693,8.3,tt0114709,Toy Story,1995,"Animation, Adventure, Comedy",81 min
93,376331,8.3,tt0071853,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min
94,866693,8.3,tt0361748,Inglourious Basterds,2009,"Adventure, Drama, War",153 min
95,65412,8.4,tt0012349,The Kid,1921,"Comedy, Drama, Family",68 min
96,408224,8.3,tt0119488,L.A. Confidential,1997,"Crime, Drama, Mystery",138 min
97,153876,8.3,tt0059578,For a Few Dollars More,1965,Western,132 min
98,107301,8.3,tt0053604,The Apartment,1960,"Comedy, Drama, Romance",125 min
99,100665,8.3,tt0042876,Rashomon,1950,"Crime, Drama",88 min
100,506406,8.3,tt0097576,Indiana Jones and the Last Crusade,1989,"Action, Adventure, Fantasy",127 min
