neighbourhood_group,neighbourhood
,Alaró
,Alcúdia
,Algaida
,Andratx
,Ariany
,Artà
,Banyalbufar
,Binissalem
,Bunyola
,Búger
,Calvià
,Campanet
,Campos
,Capdepera
,Consell
,Costitx
,Deyá
,Escorca
,Esporles
,Estellencs
,Felanitx
,Fornalutx
,Inca
,Lloret de Vistalegre
,Lloseta
,Llubí
,Llucmajor
,Manacor
,Mancor de la Vall
,Maria de la Salut
,Marratxí
,Montuïri
,Muro
,Palma de Mallorca
,Petra
,Pollença
,Porreres
,Puigpunyent
,Sa Pobla
,Sant Joan
,Sant Llorenç des Cardassar
,Santa Eugènia
,Santa Margalida
,Santa María del Camí
,Santanyí
,Selva
,Sencelles
,Ses Salines
,Sineu
,Son Servera
,Sóller
,Valldemossa
,Vilafranc de Bonany
